column,missing_count,total_rows,missing_rate,dtype
Curb Cut_ratios,0,117582,0.0,float64
Snow_ratios,0,117582,0.0,float64
Junction Box_ratios,0,117582,0.0,float64
Traffic Light_ratios,0,117582,0.0,float64
Sand_ratios,0,117582,0.0,float64
Bench_ratios,0,117582,0.0,float64
Parking_ratios,0,117582,0.0,float64
Bus_ratios,0,117582,0.0,float64
Ground Animal_ratios,0,117582,0.0,float64
Curb_counts,0,117582,0.0,float64
Lane Marking - Crosswalk_ratios,0,117582,0.0,float64
Service Lane_ratios,0,117582,0.0,float64
Pothole_ratios,0,117582,0.0,float64
Motorcyclist_ratios,0,117582,0.0,float64
Banner_ratios,0,117582,0.0,float64
Guard Rail_counts,0,117582,0.0,float64
Car Mount_ratios,0,117582,0.0,float64
Tunnel_ratios,0,117582,0.0,float64
Pedestrian Area_ratios,0,117582,0.0,float64
Building_counts,0,117582,0.0,float64
Trash Can_counts,0,117582,0.0,float64
Snow_counts,0,117582,0.0,float64
Trailer_counts,0,117582,0.0,float64
Caravan_counts,0,117582,0.0,float64
Bicyclist_counts,0,117582,0.0,float64
Mailbox_ratios,0,117582,0.0,float64
Mailbox_counts,0,117582,0.0,float64
Wheeled Slow_ratios,0,117582,0.0,float64
Wheeled Slow_counts,0,117582,0.0,float64
Boat_ratios,0,117582,0.0,float64
Ego Vehicle_ratios,0,117582,0.0,float64
Boat_counts,0,117582,0.0,float64
Ego Vehicle_counts,0,117582,0.0,float64
Caravan_ratios,0,117582,0.0,float64
Other Rider_ratios,0,117582,0.0,float64
Bicyclist_ratios,0,117582,0.0,float64
Other Rider_counts,0,117582,0.0,float64
CCTV Camera_ratios,0,117582,0.0,float64
CCTV Camera_counts,0,117582,0.0,float64
Bike Lane_ratios,0,117582,0.0,float64
Phone Booth_ratios,0,117582,0.0,float64
Bike Lane_counts,0,117582,0.0,float64
Phone Booth_counts,0,117582,0.0,float64
Crosswalk - Plain_ratios,0,117582,0.0,float64
Crosswalk - Plain_counts,0,117582,0.0,float64
Bike Rack_ratios,0,117582,0.0,float64
Bicycle_counts,0,117582,0.0,float64
Bicycle_ratios,0,117582,0.0,float64
Bridge_counts,0,117582,0.0,float64
Bus_counts,0,117582,0.0,float64
Traffic Sign Frame_counts,0,117582,0.0,float64
Other Vehicle_counts,0,117582,0.0,float64
Fire Hydrant_counts,0,117582,0.0,float64
Curb Cut_counts,0,117582,0.0,float64
Trailer_ratios,0,117582,0.0,float64
Junction Box_counts,0,117582,0.0,float64
Traffic Light_counts,0,117582,0.0,float64
Sand_counts,0,117582,0.0,float64
Bench_counts,0,117582,0.0,float64
Parking_counts,0,117582,0.0,float64
Water_counts,0,117582,0.0,float64
Pedestrian Area_counts,0,117582,0.0,float64
Ground Animal_counts,0,117582,0.0,float64
Lane Marking - Crosswalk_counts,0,117582,0.0,float64
Service Lane_counts,0,117582,0.0,float64
Pothole_counts,0,117582,0.0,float64
Motorcyclist_counts,0,117582,0.0,float64
Banner_counts,0,117582,0.0,float64
On Rails_counts,0,117582,0.0,float64
Car Mount_counts,0,117582,0.0,float64
Bird_counts,0,117582,0.0,float64
Tunnel_counts,0,117582,0.0,float64
Traffic Sign Frame_ratios,0,117582,0.0,float64
Street Light_ratios,0,117582,0.0,float64
Bridge_ratios,0,117582,0.0,float64
agr05,0,117582,0.0,float64
agr07,0,117582,0.0,float64
ext07r,0,117582,0.0,float64
opn06,0,117582,0.0,float64
neu06,0,117582,0.0,float64
cns06,0,117582,0.0,float64
agr06r,0,117582,0.0,float64
ext06,0,117582,0.0,float64
opn05,0,117582,0.0,float64
neu05r,0,117582,0.0,float64
cns05r,0,117582,0.0,float64
ext05r,0,117582,0.0,float64
cns02r,0,117582,0.0,float64
opn04,0,117582,0.0,float64
neu04,0,117582,0.0,float64
cns04r,0,117582,0.0,float64
agr04,0,117582,0.0,float64
ext04,0,117582,0.0,float64
opn03,0,117582,0.0,float64
neu03,0,117582,0.0,float64
cns03,0,117582,0.0,float64
ext03,0,117582,0.0,float64
opn02,0,117582,0.0,float64
cns07,0,117582,0.0,float64
neu07r,0,117582,0.0,float64
opn07r,0,117582,0.0,float64
ext08,0,117582,0.0,float64
geoip_lookup_time,0,117582,0.0,object
geoip_possible_timezone,0,117582,0.0,object
geoip_possible_city_name,0,117582,0.0,object
geoip_possible_postal_code,0,117582,0.0,object
geoip_possible_country_code,0,117582,0.0,object
dataset,0,117582,0.0,float64
langu,0,117582,0.0,float64
survey_sub,0,117582,0.0,float64
startdat,0,117582,0.0,object
topdom,0,117582,0.0,object
country3,0,117582,0.0,object
pparents_ses,0,117582,0.0,object
race_qual,0,117582,0.0,object
opn10,0,117582,0.0,float64
cns09r,0,117582,0.0,float64
agr09,0,117582,0.0,float64
opn09r,0,117582,0.0,float64
opn08,0,117582,0.0,float64
neu08,0,117582,0.0,float64
cns08,0,117582,0.0,float64
agr08r,0,117582,0.0,float64
neu02r,0,117582,0.0,float64
agr02,0,117582,0.0,float64
Guard Rail_ratios,0,117582,0.0,float64
Wall_ratios,0,117582,0.0,float64
Sky_ratios,0,117582,0.0,float64
Terrain_ratios,0,117582,0.0,float64
Vegetation_ratios,0,117582,0.0,float64
Utility Pole_ratios,0,117582,0.0,float64
Car_ratios,0,117582,0.0,float64
Person_ratios,0,117582,0.0,float64
Pole_ratios,0,117582,0.0,float64
Barrier_ratios,0,117582,0.0,float64
Lane Marking - General_ratios,0,117582,0.0,float64
Traffic Sign (Back)_ratios,0,117582,0.0,float64
Fence_ratios,0,117582,0.0,float64
ext02r,0,117582,0.0,float64
Billboard_ratios,0,117582,0.0,float64
Catch Basin_ratios,0,117582,0.0,float64
Traffic Sign (Front)_ratios,0,117582,0.0,float64
scoring_outputs,0,117582,0.0,object
Motorcycle_ratios,0,117582,0.0,float64
Truck_ratios,0,117582,0.0,float64
Rail Track_ratios,0,117582,0.0,float64
Manhole_ratios,0,117582,0.0,float64
Mountain_ratios,0,117582,0.0,float64
Trash Can_ratios,0,117582,0.0,float64
Building_ratios,0,117582,0.0,float64
Sidewalk_ratios,0,117582,0.0,float64
Road_ratios,0,117582,0.0,float64
Curb_ratios,0,117582,0.0,float64
opn01,0,117582,0.0,float64
neu01,0,117582,0.0,float64
cns01,0,117582,0.0,float64
agr01r,0,117582,0.0,float64
ext01,0,117582,0.0,float64
now_zip,0,117582,0.0,object
youth_zip,0,117582,0.0,object
http_referer_sic_data,0,117582,0.0,object
record_browser_agent,0,117582,0.0,object
record_ip_name,0,117582,0.0,object
record_ip_addr,0,117582,0.0,object
record_time,0,117582,0.0,object
record_id,0,117582,0.0,float64
site,0,117582,0.0,object
extraversion,0,117582,0.0,float64
agreeableness,0,117582,0.0,float64
conscientiousness,0,117582,0.0,float64
neuroticism,0,117582,0.0,float64
openness,0,117582,0.0,float64
image_count,0,117582,0.0,uint32
Bird_ratios,0,117582,0.0,float64
Bike Rack_counts,0,117582,0.0,float64
